ROW_INDEX,ORIGINAL_VALUE,NEW_VALUE,FULL_ENTRY
4418,1.,"long useless boastful talk, talking to oneself","meme! [meeme], ~; kĩmeme [kimeemej, i-; n. (1), 1. long useless boastful talk, talking to oneself. 2. short hollow piece of bamboo blown by women only during initiation ceremony, producing a booming sound (now largely replaced by police whistle). kameme, tũ-, n. radio, wireless set, gramophone, loudspeaker."
4419,"sth. big, un- | usual, extraordinary (in Meru the name of a generation-set). Ndatinda ngicaria gakinya ka nyina wa ~. Ikinya rĩa njogu, (riddle) I spend my time looking for the tiny spoor of monsters mother","big, un- | usual, extraordinary (in Meru the name of a generation-set)","meme? [meeme], n. (1), sth. big, un- | usual, extraordinary (in Meru the name of a generation-set). Ndatinda ngicaria gakinya ka nyina wa ~. Ikinya rĩa njogu, (riddle) I spend my time looking for the tiny spoor of monsters mother; (ans.) the footprint of an elephant. See kamirimiri."
4420,"expr. of rapid spreading of fire, an ulcer, gossip, or news","of rapid spreading of fire, an ulcer, gossip, or news","meme-meme, ideo. (1), expr. of rapid spreading of fire, an ulcer, gossip, or news; see memerekia."
4421,"crush, crush in, make a dent in sth.","be, become, crushed","memenda | mĩmĩnda, v.t. (11), crush, crush in, make a dent in sth. ; destroy. memendanga, diff. memendana, rec. crush one another, get crushed together. memendania, caus. rec. memendanira, app. rec, memendaniria, caus. app. rec. memendithia, d. caus. memendeka, st. pot. 1. be, become, crushed. 2. (of animals in an epidemic, &c.) be destroyed. memendera, app."
4423,1. silver fish,silver fish,"memenyi, ~, n. (1x), 1. silver fish; weevil; cut-worm. 2. a person who is always having bits of food, who is always hungry. [memenya]"
4424,"1. (of news, disease, fire) spread, be broadcast","(of news, disease, fire) spread, be broadcast","memereka [meemeereka], v.i. (11), 1. (of news, disease, fire) spread, be broadcast; cf. memeũka. 2. waste time (on the highway, at a market, or in public places). memerekanga, diff. memerekanira, app. rec. memerekaniria, caus. app. rec. memerekia, caus. 1. fan, blow up a fire. 2. spread news, advertise; broadcast the news (on the radio). imemerekia, refl. caus. advertise oneself; be over-cordial; be lacking in reserve, modesty. memerekithia, d. caus. memerekeka, st. pot. memerekera, app. memerekeria, caus. app."
4426,1. make wide open,make wide open,"memeũra, v.t. (11), 1. make wide open; tiga ki~ mũrango, do not leave the door ajar, 2. make fire burn brighter, glow; make tongues of flame spread out. ĩmemeũra, ref. memamemeũra, dim. memeũranga, diff. memeũrana, rec. memeũrania, caus. rec. memeũranira, assoc. memeũraniria, caus. assoc. memeũria, caus. memeũrithia, d, caus. memeũrira, app. memeũka, v.i. glow, shine out."
4427,1.,"one who is conditioned, one habitually expecting 2","kĩmemi, i-, n. (1), 1. one who is conditioned, one habitually expecting sth. 2. a spoilt person. [mema]"
4428,,"become quite common, plentiful","kamemo, n. (1); tuĩka ~, become quite common, plentiful. [mema]"
4429,,member. [E,"memba, ~; mũmemba [mũnũmemba], a-; n. (1) member. [E.]"
4432,"1. ill-feeling, rancour, malice, grudge","spite, feuds","rũmena, mena, n. (VII), 1. ill-feeling, rancour, malice, grudge; cf. kimeno. 2. (cl. 10) spite, feuds. kĩmena, i-, n. contempt. kamena, tũ-, n. contempt. [mena]"
4434,"I. mutual contempt. 2. ill feeling, quarrel",mutual contempt,"mũmenano, mi-, kimenano, i-; rũmenano, menano; n. (III), I. mutual contempt. 2. ill feeling, quarrel; cf. kĩmeno. [mena]"
4435,"descr. of a flash of light, the blink of a fire, the shine of an animal's eye in the dark. menemene, ideo. 1. as mene. 2. descr. of glinting, flickering (of distant lightning), the flashing (of swords in a fight or of whitened shields in the bush)",as mene,"mene, ideo. (1/11), descr. of a flash of light, the blink of a fire, the shine of an animal's eye in the dark. menemene, ideo. 1. as mene. 2. descr. of glinting, flickering (of distant lightning), the flashing (of swords in a fight or of whitened shields in the bush); njata iragamba ~, the stars are twinkling."
4436,"despised, disliked.","despised, disliked","-mene, a. (Iv), despised, disliked. [mena]"
4437,(of a farmor business concern) manager.,(of a farmor business concern) manager. [E,"menenja [meenenja] / manĩnja [maaninja], n. cl. 1/2 concords (xv1), (of a farmor business concern) manager. [E.]"
4438,,with malicious intent,"meni, n. -a ~, with malicious intent; cf. rmena. [mena]"
4440,"blotch, blot, stain, spot.","blotch, blot, stain, spot","kĩmeni, i-, n. (11), blotch, blot, stain, spot. nyameni, ~, n. (N.K.) cow with long hair hanging in front. [see menũka]"
4441,,contempt,"kĩmeno, i-, n. (11) contempt; cf. rũmena. [mena]"
4442,descr.,of a flash,"menũ, ideo. (1), descr. of a flash."
4443,,REFERENCE,"menũ, see under mwinũ."
4444,"1. flash, flash out, flare up suddenly (as short flash of lightning), give a flicker","flash, flash out, flare up suddenly (as short flash of lightning), give a flicker","menũka, v.i. (11), 1. flash, flash out, flare up suddenly (as short flash of lightning), give a flicker; cf. henũka, mũrĩka. 2. (of blooms, blossoms, flowers) open out, peep out of bud. menũra, v.t. fiash (torch); open (eyes) menũria, caus.; ~ Ntheri, make a light flash; ~ maitho, open eyes quickly."
4445,"squeeze (a lump of wax over a hole, putty into a crack, clay mud on to a wall or on to a person, &c.).","squeeze (a lump of wax over a hole, putty into a crack, clay mud on to a wall or on to a person, &c","mendeka, v.t. (11), squeeze (a lump of wax over a hole, putty into a crack, clay mud on to a wall or on to a person, &c.). mendekerera, inten. mendekereria, caus. inten."
4448,,REFERENCE,"menduri, see rĩnduri."
4452,"sth. wide apart. Ciacuuha ~? Icuhĩ cia atumia, (riddle) they dangle wide apart",wide apart,"mengea, n. cl, 6 only (x1?), sth. wide apart. Ciacuuha ~? Icuhĩ cia atumia, (riddle) they dangle wide apart; (ans.) women’s ear ornaments. [engea]"
4453,descr.,of waddling along like an over-fat beast or person,"menge-menge, ideo. (1), descr. of waddling along like an over-fat beast or person."
4454,"anything flabby or bloated, over-fat (like a very fat baby), gelatinous.","anything flabby or bloated, over-fat (like a very fat baby), gelatinous","kĩmengemenge, i-, n. (v), anything flabby or bloated, over-fat (like a very fat baby), gelatinous. kamengemenge, tũ-, (lump of) jelly. [mengamenga]"
4456,half-gourd split longitudinally (used as a dipper or ladle).,half-gourd split longitudinally (used as a dipper or ladle),"kamengcũria, tũ-, n. (x1), half-gourd split longitudinally (used as a dipper or ladle)."
4457,"1. speak rapidly, aimlessly, confusedly. 2. ~ kanua, make a noise when eating (due to clumsy eating habits)","speak rapidly, aimlessly, confusedly","menja, v.i. (11), 1. speak rapidly, aimlessly, confusedly. 2. ~ kanua, make a noise when eating (due to clumsy eating habits); cf. monja. 3. (of a dog) yap. menjamenja, dim. 1. speak rapidly (as children do when making excuses); cf. thonja. 2. (of a cat) lap noisily. menjanga, diff. menjera, app."
4458,(military) major.,(military) major. [E,"menja!, ~, n. with cl. 1/2 concords (1), (military) major. [E.]"
4459,,REFERENCE,"menja? 3, see under rĩenja! 2."
4460,"tũ-, n. (111), one fond of eating all the time, one who lives to eat","one fond of eating all the time, one who lives to eat","kamenja, (-irio), tũ-, n. (111), one fond of eating all the time, one who lives to eat; wa ~, pretended sickness (in order to be nursed with delicacies); hypochondria. [menja]"
4461,,REFERENCE,"menje, see under rĩenje."
4462,"weak or watery soup, gruel, or tea.","weak or watery soup, gruel, or tea","menjegethe, n. cl. 6 only (1v), weak or watery soup, gruel, or tea."
4463,expr.,"of soft munching, &c","menje-menje, ideo. (1), expr. of soft munching, &c. (as a child or lamb sucking, a dog or cat lapping)."
4464,a wire rope.,a wire rope,"menjimenji, ~, n. (1?), a wire rope."
4466,"bald patch (as from a burn, &c.)","bald patch (as from a burn, &c","kĩmenjũ, i-, n. (1v), bald patch (as from a burn, &c.); person with a bald patch or partially bald (with hair receding on the front of the head); cf. kihara."
4467,"1. know, understand, recognize, make an acquaintance of","know, understand, recognize, make an acquaintance of","menya, v.t. (1), 1. know, understand, recognize, make an acquaintance of; cf. ũi. 2. have information about; know how (to); learn, get to know; € realize, conclude, come to the conclusion that. 3. (as interj.) no fear, not at any price; (foll. by infin. or v. in subj.) mind you do not, take care not to, do sth. refi. know oneself. menyamenya, dim. menyanga, diff. menyana, rec. I. recognize, know one another, be acquainted; ~ na, make friends with. 2. (coll.) fight and be friendly after the fight. menyania, caus. rec. menyanira, app. rec. menyaniria, caus. app. rec. menyithia, d. caus. inform of, cause to know (how), instruct (in). ĩmenyithia, refl. d. caus. 1. inform oneself, attain knowledge (of, about); teach, instruct, train oneself how. 2. advertise oneself, pretend that one is already known. menyithania, rec. d. caus. make known, give notice, announce, cause to be known; ~ na ũrĩa, introduce me to that person. fmenyithania, refl. rec. d. caus. introduce oneself to, coax people to remember one’s name, menyeka, st. pot. be recognizable, recognized, known, famous. menyekana, rec. st. pot. become fully known, come to light; be well known. menyera, app. I. know for, decide for, know better than sb. else; learn in, at, for; aa~ manũndũ macio haka, he learnt those things while he was here; tiga kũmũ~, let him make up his own mind. 2. get into the habit of, be used to, get accustomed, make a practice of. imenyera, refl. app. know for oneself. menyerũo, pass. app.; mbura ndĩmenyagĩrno, one can never tell when it is going to rain. menyeria, caus. app. accustom to, habituate, cause to become used to, practised in; train, condition. ĩmenyeria, refi. caus. app. form a habit of; accustom, train, oneself, menyerera, inten. mind, take care of; observe, obey (instructions, laws, &c.); ~ ndũgaterũkie, take care that you do not ‘let the cat out of the bag’. ĩmenyerera, refl. inten. guard oneself, take care of oneself, be circumspect, look out, beware; cf."
4468,mutual acquaintance.,mutual acquaintance,"ũmenyani, n. cl. 14 only (1), mutual acquaintance. [menya]"
4469,understanding (secret or otherwise) between people.,understanding (secret or otherwise) between people,"kĩmenyano, i-, n. (1), understanding (secret or otherwise) between people. [menya]"
4471,"descr. of the nibbling or munching of a goat, &c.","of the nibbling or munching of a goat, &c","menye-menye, ideo. (1), descr. of the nibbling or munching of a goat, &c.; see memenya."
4472,"guardian. ũmenyereri, (momenyereri) [moomenyereri], n. quality or act of taking care of sth. or sb.",guardian,"mũmenyereri, a-, n. (1), guardian. ũmenyereri, (momenyereri) [moomenyereri], n. quality or act of taking care of sth. or sb.; guardianship, carefulness, thrift, watchfulness. [menya]"
4473,"care, carefulness.","care, carefulness","kĩmenyerero, i-, n. (1), care, carefulness. [menya]"
4475,a notice.,a notice,"kimenyithania, i-, n. (1), a notice. [menya]"
4476,"sign, advertisement, notice, posted up or broadcast announcement.","sign, advertisement, notice, posted up or broadcast announcement","kĩmenyithia, i-, n. (11), sign, advertisement, notice, posted up or broadcast announcement. [menya]"
4478,descr.,"of chipping, breaking into pieces, collapsing","menyũkanũ, ideo. (11), descr. of chipping, breaking into pieces, collapsing. [see menyũka]"
4479,"1. break sth. soft into pieces, break a piece off from sth.","break soft into pieces, break a piece off from","menyũra, v.t. (I1), 1. break sth. soft into pieces, break a piece off from sth. ;'nĩaa~ kiuga, he has broken off a piece of the half-calabash; cf. enyũra,. menyamenyũra, dim. menyũranga, diff. break off pieces from sth. menyũrania, caus. rec. break off a piece completely; ~ horo, disclose the whole affair, lay all cards on table. menyũranira, app. rec. menyũraniria, caus. app. rec. menyũria, caus. menyũrithia, d. caus. menyũrithiria, app. d. caus. menyũrika, st. pot. menyũrira, app. menyũka, v.i. be, become, broken off; split open. menyũkana, rec. be broken off entirely. menyũkanira, app. rec. menyũkira, app."
4481,,a good yield,"kimera, i-, n. 1. season (from planting to harvest); a good yield; mbura ya ~, the main rains; irio cia ~, seasonal crops; cf. irio cia menja, mwaka, 2. harvested sorghum (sprouted and dried in the sun, ground dry and stored for making bitter gruel, much favoured by old men); malted grain used for making beer; see maarũa. [mera]"
4482,,"newly germinated, young in growth, new, of recent appearance","mũmerano, n. cl. 3 (1); -a ~, newly germinated, young in growth, new, of recent appearance. [mera]"
4483,1.,crushed millet (soaked in water and eaten uncooked),"kĩmere, i-, n. (VIr), 1. crushed millet (soaked in water and eaten uncooked). 2. any similar paste, dough."
4484,"1. malted grain, malt","malted grain, malt","kĩmerera, i-, n. (1), 1. malted grain, malt; place of origin, cf. kĩmerero. 2. parasitic growth, thing growing on another. [mera]"
4485,,REFERENCE,"merera, see rierera."
4486,1.,"manner of germination, growth","mũmerere, mMi-, n. (11), 1. manner of germination, growth. 2. natural form. [mera]"
4490,(with cl.,"spiv, hooligan","meria-cuma, ~, n. (1-1), (with cl. o/10 or 1/2 concords) spiv, hooligan. [meria?]"
4492,,REFERENCE,"meririria, see under rĩrriiria,"
4494,,REFERENCE,"meru, see under rĩru."
4495,"n. (1), moistness of the soil conducive to growth",moistness of the soil conducive to growth,"kĩmeru, (ĩ-), n. (1), moistness of the soil conducive to growth; profit, benefit; trace (of dampness, spilt water)."
4496,"germinated, sprouted.","germinated, sprouted","-meru, a. (I1), germinated, sprouted. [mera]"
4497,"descr. of swallowing sth. whole. merũmerũ, ideo. expr. of swift swallowing (e.g. of hens, pigeons, dogs, &c.)",of swallowing whole,"merũ, ideo. (11/1), descr. of swallowing sth. whole. merũmerũ, ideo. expr. of swift swallowing (e.g. of hens, pigeons, dogs, &c.); see meria?,"
4499,,REFERENCE,"metarania, see under rĩtarania."
4500,(with loc. concords) the central part of Kikuyuland,(with loc,"Metumi [meetumi], n. (111), (with loc. concords) the central part of Kikuyuland; cf. Karura, Gaki."
4501,table.,table,"metha [meetha], ~, n. (1), table. [Sw. MEZA]"
4502,,REFERENCE,"methambiro, see under rĩthambiro."
